,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
63,苓雅區,房地(土地+建物)+車位,高雄市苓雅區仁德街1~30號,8.57,商,0,0,1081231,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,92.52,2,2,1,有,有,6500000,70255,坡道機械,5.14,0,0,RPRNMLNJKHPFFBE87CA
64,左營區,房地(土地+建物),高雄市左營區大中二路624巷1~30號,8.03,住,0,0,1081222,土地1建物1車位0,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841020,102.17,2,2,2,有,有,4000000,39150,0,0.0,0,0,RPOPMLMLJHPFFEE08CA
65,左營區,房地(土地+建物)+車位,高雄市左營區介壽路221巷1~30號,25.04,住,0,0,1081212,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000916,135.14,3,2,2,有,有,7400000,54758,坡道平面,13.95,0,0,RPOOMLKMJHPFFEE87CA
66,鳳山區,房地(土地+建物)+車位,高雄市鳳山區新富路571~600號,10.32,住,0,0,1081216,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881020,147.36,3,2,2,有,有,6100000,41395,坡道機械,0.0,0,0,RPVQMLLLJHPFFGE98CA
67,前鎮區,房地(土地+建物)+車位,高雄市前鎮區三多三路61~90號,25.47,商,0,0,1080928,土地1建物1車位0,十四層，夾層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940504,342.57,5,2,4,有,有,18800000,54879,坡道平面,0.0,0,0,RPPNMLKLJHPFFCE87CD
68,鳳山區,房地(土地+建物)+車位,高雄市鳳山區凱旋路211~240號,16.46,住,0,0,1081212,土地1建物1車位1,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840608,157.07999999999998,3,2,2,有,有,5900000,37560,坡道平面,0.0,0,附家電傢俱。,RPQOMLMKKHPFFGE38CA
69,鳳山區,房地(土地+建物)+車位,高雄市鳳山區中山西路91~120號,12.84,住,0,0,1081228,土地4建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860102,134.34,3,2,2,有,有,5080000,37815,坡道機械,0.0,0,0,RPPOMLRJKHPFFGE68CA
70,楠梓區,房地(土地+建物),高雄市楠梓區楠梓新路261巷1~30號,9.23,住,0,0,1081221,土地1建物1車位0,十三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,108.28,3,2,2,有,有,3400000,31400,0,0.0,0,含增建或未登記建物。;附家電傢俱。,RPQOMLMKKHPFFEE18CA
71,左營區,房地(土地+建物)+車位,高雄市左營區崇德路31~60號,11.63,商,0,0,1081204,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,149.18,3,2,2,有,有,9800000,65692,坡道平面,17.1,0,0,RPWNMLKKKHPFFEE48CA
72,左營區,房地(土地+建物)+車位,高雄市左營區東門路131巷1~30號,9.6,住,0,0,1081214,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971105,91.52000000000001,2,2,1,有,有,6280000,68619,坡道平面,13.4,0,0,RPQOMLLKKHPFFEE08CA
73,左營區,房地(土地+建物),高雄市左營區民族一路901巷26弄1~30號,5.62,住,0,0,1081213,土地1建物1車位0,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851125,83.60000000000001,2,1,1,有,有,3370000,40311,0,0.0,0,0,RPTPMLLKKHPFFEE48CA
74,楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路811~840號,16.32,住,0,0,1081231,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880528,160.12,4,2,2,有,有,5900000,36847,坡道平面,20.18,0,0,RPUNMLOJKHPFFEE58CA
75,楠梓區,房地(土地+建物),高雄市楠梓區德民路820巷1~30號,10.08,住,0,0,1090105,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000526,76.00999999999999,2,1,1,有,有,3900000,51309,0,0.0,0,0,RPRPMLMLJHPFFEE38CA
76,三民區,房地(土地+建物)+車位,高雄市三民區明仁路31~60號,40.89,住,0,0,1081201,土地1建物1車位3,二十四層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021209,457.17,4,2,3,有,有,35800000,78308,坡道平面,85.26,0,0,RPVNMLTKKHPFFDE56CA
77,三民區,房地(土地+建物),高雄市三民區民族一路811~840號,7.2,住,0,0,1081117,土地1建物1車位0,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850719,89.39,3,2,1,有,有,3600000,40273,0,0.0,0,0,RPWOMLMKKHPFFDE68CA
78,三民區,房地(土地+建物),高雄市三民區鼎瑞街91~120號,12.49,住,0,0,1081207,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,115.07000000000001,2,2,2,有,有,5200000,45190,0,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLOKKHPFFDE78CA
79,三民區,房地(土地+建物)+車位,高雄市三民區大豐一路271~300號,21.39,住,0,0,1090103,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950904,151.87,3,2,2,有,有,7150000,47080,坡道平面,0.0,0,0,RPXNMLLKKHPFFDE58CA
80,三民區,房地(土地+建物)+車位,高雄市三民區九如一路548巷1~30號,30.56,商,0,0,1081012,土地1建物1車位1,十五層，電梯樓梯間,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860708,389.07,5,3,4,有,有,18580000,47755,坡道平面,0.0,0,0,RPUOMLLMJHPFFDE48CA
